"№","Region (RU)","Region (BA)","Region (ENG)","Region (Com. Turk. BA)","District (RU)","District (BA)","District (ENG)","District (Com. Turk. BA)","Name (RU)","Name (BA)","Name (ENG)","Name (Com. Turk. BA)","Clan (RU)","Clan (BA)","Clan (ENG)","Clan (Com. Turk. BA)","Dialect (RU)","Dialect (BA)","Dialect (ENG)","Dialect (Com. Turk. BA)","Sub-dialect & Variety (RU)","Sub-dialect & Variety (BA)","Sub-dialect & Variety (ENG)","Sub-dialect & Variety (Com. Turk. BA)","Map Link","latitude","longitude","Status"
"1972","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Красноуфимский район","Красноуфимск районы","Krasnoufimsky district","Krasnoufimsk rayonı","Бишково","Бишауыл","Bishkovo","Bişawıl","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.57685/58.11615","56.57685","58.11615",""
"1973","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Ачитский район","Әшит районы","Achitsky district","Äşit rayonı","Гайны","Ғәйнә","Gayny","Ğäynä","Гайна","Ғәйнә","Gayna","Ğäynä","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.72610/58.02760","56.7261","58.0276",""
"1974","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Ачитский район","Әшит районы","Achitsky district","Äşit rayonı","Еманзельга","Яманйылға","Yemanzhelga","Yamanyılğa","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.59260/58.35846","56.5926","58.35846",""
"1975","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Артинский район","Әртә районы","Artinsky district","Ärtä rayonı","Азигулово","Әжеғол","Azigulovo","Äžeğol","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.53603/58.29744","56.53603","58.29744",""
"1976","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Артинский район","Әртә районы","Artinsky district","Ärtä rayonı","Биткино","Бикән","Bitkino","Bikän","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.52448/58.21202","56.52448","58.21202",""
"1977","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Артинский район","Әртә районы","Artinsky district","Ärtä rayonı","Бихметково","Бәхмәт","Bikhmetkovo","Bäxmät","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.53716/58.16997","56.53716","58.16997",""
"1978","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Артинский район","Әртә районы","Artinsky district","Ärtä rayonı","Манчаж","Мунса","Manchazh","Munsa","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.47948/58.13471","56.47948","58.13471",""
"1979","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Артинский район","Әртә районы","Artinsky district","Ärtä rayonı","Артя-Шигири","Әртә-Шиғыр","Artya-Shigiri","Ärtä-Şiğır","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.32007/58.72083","56.32007","58.72083",""
"1980","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Уфа-Шигири","Өфө-Шиғер","Ufa-Shigiri","Öfö-Şiğer","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.44942/58.92401","56.44942","58.92401",""
"1981","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Урмикеево","Үрмәкәй","Urmikeyevo","Ürmäkäy","Кошсо","Ҡошсо","Koshso","Qoşso","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.45853/59.01911","56.45853","59.01911",""
"1982","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Аракаево","Араҡай","Arakayevo","Araqay","Терсяк","Терһәк","Terseyak","Terhäk","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.44022/59.21085","56.44022","59.21085",""
"1983","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Исенбаево","Иҫәнбай","Isenbayevo","İśänbay","Терсяк","Терһәк","Terseyak","Terhäk","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.64062/59.29658","56.64062","59.29658",""
"1984","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Нижние Серги","Түбәнге Серге","Nizhniye Sergi","Tübänge Serge","Терсяк","Терһәк","Terseyak","Terhäk","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","?","?","?","?","https://www.openstreetmap.org/#map=12/56.6616/59.2971","56.6616","59.2971",""
"1985","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Атиг","Әтек","Atig","Ätek","Терсяк","Терһәк","Terseyak","Terhäk","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","?","?","?","?","https://www.openstreetmap.org/#map=13/56.69167/59.42565","56.69167","59.42565",""
"1986","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Акбаш","Аҡбаш","Akbash","Aqbaş","Упей","Өпәй","Upey","Öpäy","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.38295/59.03559","56.38295","59.03559",""
"1987","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Шокурово","Шәкүр","Shokurovo","Şäkür","Упей","Өпәй","Upey","Öpäy","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.32446/59.11284","56.32446","59.11284",""
"1988","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Коняково","Көнъяҡ","Konyakovo","Könyaq","Упей","Өпәй","Upey","Öpäy","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=14/56.42155/59.09292","56.42155","59.09292",""
"1989","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Шарама","Шарам","Sharama","Şaram","?","?","?","?","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.42646/59.02065","56.42646","59.02065",""
"1990","Свердловская область","Свердловск өлкәһе","Sverdlovsk oblast","Sverdlovsk ölkähe","Нижнесергинский район","Түбәнге Серге районы","Nizhneserginsky district","Tübänge Serge rayonı","Перепряжка","Аҡҡул","Perepryazhka","Aqqul","?","?","?","?","Северо-Западный диалект","Төнъяҡ-Көнбайыш диалекты","North-Western dialect","Tönyaq-Könbayış dialektı","Среднеуральский говор","Урта Урал һөйләше","Middle Ural sub-dialect","Urta Ural höyläşe","https://www.openstreetmap.org/#map=13/56.33683/58.98478","56.33683","58.98478",""
"1991","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Ишкинино","Ишкенә","Ishkinino","İşkenä","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.46247/58.28240","51.46247","58.2824",""
"1992","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Писаревка","Йәнсура","Pisarevka","Yänsura","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.59825/58.39484","51.59825","58.39484",""
"1993","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Старохалилово","Иҫке Хәлил","Starokhalilovo","İśke Xälil","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.44401/58.11108","51.44401","58.11108",""
"1994","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Малохалилово","Кесе Хәлил","Malokhalilovo","Kese Xälil","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.41635/58.15623","51.41635","58.15623",""
"1995","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Халилово","Хәлил","Khalilovo","Xälil","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.40105/58.13008","51.40105","58.13008",""
"1996","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Нарбулатово","Нурбулат","Narbulatovo","Nurbulat","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.38993/58.19501","51.38993","58.19501",""
"1997","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Узембаево","Үҙәмбай","Usembayevo","Üźämbay","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.31036/58.18312","51.31036","58.18312",""
"1998","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Старая Губерля","Әпсәләм","Staraya Guberlya","Äpsäläm","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.27304/58.12549","51.27304","58.12549",""
"1999","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Гайский район","Гай районы","Gaysky district","Gay rayonı","Ижберда","Ишбирҙе","Izhberda","İşbirźe","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.28911/58.02038","51.28911","58.02038",""
"2000","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Ялнаир","Яланайыр","Yalnair","Yalanayır","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.30005/57.82527","51.30005","57.82527",""
"2001","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Карагай-Покровка","Ишан","Karagay-Pokrovka","İşan","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.63881/57.90913","51.63881","57.90913",""
"2002","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Верхненазаргулово","Үрге Наҙарғол","Verkhnenazargulovo","Ürge Naźarğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.73985/57.72656","51.73985","57.72656",""
"2003","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Акчура","Аҡсура","Akchura","Aqsura","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.69832/57.50565","51.69832","57.50565",""
"2004","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Малое Чураево","Кесе Сурай","Maloye Churayevo","Kese Suray","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.66959/57.48752","51.66959","57.48752",""
"2005","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Большое Чураево","Оло Сурай","Bolshoye Churayevo","Olo Suray","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.63434/57.53252","51.63434","57.53252",""
"2006","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Первое Юмагузино","Беренсе Йомағужа","Pervoye Yumaguzino","Berense Yomağuža","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.62134/57.54831","51.62134","57.54831",""
"2007","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Второе Юмагузино","Икенсе Йомағужа","Vtoroye Yumaguzino","İkense Yomağuža","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.53781/57.62520","51.53781","57.6252",""
"2008","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Ибрагимово","Ибраһим","Ibragimovo","İbrahim","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.50748/57.44154","51.50748","57.44154",""
"2009","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Гумарово","Ғүмәр","Gumarovo","Ğümär","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.50161/57.36978","51.50161","57.36978",""
"2010","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Тлявгулово","Теләүғол","Tlyavgulovo","Teläwğol","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.49733/57.29391","51.49733","57.29391",""
"2011","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Акбулатово","Аҡбулат","Akbulatovo","Aqbulat","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=13/51.50225/57.19280","51.50225","57.1928",""
"2012","Оренбургская область","Ырымбур өлкәһе","Orenburg oblast","Irımbur ölkähe","Кувандыкский район","Ҡыуандыҡ районы","Kuvandyksky district","Qıwandıq rayonı","Аскарово","Асҡар","Askarovo","Asqar","Усерган","Үҫәргән","Usergan","Üśärgän","Южный (Юрматинский) диалект","Көнъяҡ (Юрматы) диалекты","Southern (Yurmaty) dialect","Könyaq (Yurmatı) dialektı","Ик-Сакмарский говор (Нижнесакмарский подговор)","Эйек-Һаҡмар һөйләше (Түбәнге Һаҡмар аҫһөйләше)","Ik-Sakmar sub-dialect (Lower Sakmar variety)","Eyek-Haqmar höyläşe (Tübänge Haqmar aśhöyläşe)","https://www.openstreetmap.org/#map=14/51.56449/57.15845","51.56449","57.15845",""
